position	rank	token_id	logit_hex	logit
0	0	2701	0x4187c758	16.972335815429688
0	1	220	0x415c2c2d	13.760785102844238
0	2	2629	0x4158aa52	13.541582107543945
0	3	1372	0x41565b8a	13.397348403930664
0	4	729	0x41533514	13.200458526611328
0	5	5461	0x4151ff7e	13.124876022338867
0	6	4771	0x414eeb12	12.932390213012695
0	7	23606	0x414eb369	12.918801307678223
0	8	3082	0x414b9f23	12.726351737976074
0	9	1156	0x414b5cac	12.710124969482422
0	10	11341	0x414a8fdf	12.660124778747559
0	11	3084	0x414a16d8	12.630577087402344
0	12	897	0x4148b744	12.544742584228516
0	13	330	0x4148a5c0	12.54046630859375
0	14	79683	0x41475142	12.457338333129883
0	15	1985	0x4145645e	12.337003707885742
0	16	1555	0x41446b52	12.276201248168945
0	17	8500	0x41442cea	12.260965347290039
0	18	2790	0x41437563	12.216158866882324
0	19	6010	0x4143638e	12.21180534362793
0	20	55530	0x4142ef7b	12.183466911315918
0	21	7286	0x4142aca5	12.167149543762207
0	22	6291	0x41416d95	12.089253425598145
0	23	1429	0x4141134c	12.067211151123047
0	24	738	0x41400749	12.001778602600098
0	25	46342	0x413fecdc	11.99532699584961
0	26	28098	0x413fc7a5	11.986241340637207
0	27	2783	0x413f7323	11.965609550476074
0	28	1887	0x413f63c7	11.961859703063965
0	29	4184	0x413f3fb4	11.953052520751953
0	30	3920	0x413f2122	11.945589065551758
0	31	2355	0x413f04a1	11.938630104064941
1	0	323	0x4195842f	18.689542770385742
1	1	6019	0x419269a4	18.30158233642578
1	2	6860	0x4191ac70	18.209197998046875
1	3	91246	0x4190931e	18.071834564208984
1	4	3378	0x418a5989	17.293718338012695
1	5	2033	0x41895cb3	17.170263290405273
1	6	1616	0x4188b34d	17.087549209594727
1	7	11	0x4187cca6	16.974925994873047
1	8	2090	0x41877c89	16.935808181762695
1	9	4879	0x41875a86	16.919200897216797
1	10	38943	0x4187415c	16.90691375732422
1	11	268	0x418677e8	16.808547973632812
1	12	7633	0x41861bc8	16.763565063476562
1	13	2297	0x4185cda8	16.725418090820312
1	14	44724	0x41831f4d	16.390283584594727
1	15	4038	0x4182a717	16.331586837768555
1	16	81914	0x41824d19	16.28764533996582
1	17	3405	0x41821c77	16.263898849487305
1	18	1737	0x418218ea	16.262165069580078
1	19	12	0x41818350	16.189117431640625
1	20	50402	0x418166ed	16.175256729125977
1	21	9777	0x4180aa3d	16.0831241607666
1	22	645	0x41806b66	16.052440643310547
1	23	11341	0x4180039a	16.001758575439453
1	24	1917	0x417ff67e	15.997678756713867
1	25	3735	0x417feb64	15.99496841430664
1	26	2473	0x417e2aa4	15.88541030883789
1	27	1779	0x417d906b	15.847758293151855
1	28	8500	0x417cef20	15.808380126953125
1	29	8474	0x417ca934	15.791309356689453
1	30	12720	0x417b88c7	15.720892906188965
1	31	2630	0x417b63da	15.711877822875977
2	0	38835	0x41b882e3	23.06390953063965
2	1	3745	0x418e4787	17.78492546081543
2	2	902	0x418551ea	16.664997100830078
2	3	5562	0x4182c3a2	16.345523834228516
2	4	13282	0x41811232	16.13388442993164
2	5	59881	0x417e7c7a	15.905389785766602
2	6	198	0x417794a0	15.473785400390625
2	7	94918	0x417737a3	15.451083183288574
2	8	14697	0x4173e5f0	15.243637084960938
2	9	8968	0x41732355	15.196125984191895
2	10	9435	0x416f60b1	14.961106300354004
