position	stage	logits_sha256	greedy_token	greedy_logit_hex	greedy_logit	runner_up_token	runner_up_logit_hex	runner_up_logit	runner_up_gap	max_attaining_indices	top_two_bit_identical
0	prefill	7561d4c491fecd4db1932fe14c28a751504fa823f8bff56ecceb15df08501bb4	2701	0x4187c758	16.972335815429688	220	0x415c2c2d	13.760785102844238	3.211550712585449	1	false
1	prefill	e68dd9023819e9aee570fa8bcced39d0537c0f560bb4cf255e7930e5557dce2e	323	0x4195842f	18.689542770385742	6019	0x419269a4	18.30158233642578	0.38796043395996094	1	false
2	prefill	2dc7378f27f30ba4056b2490666fe083eaa9cf88a33db1b4509293ba700f4800	38835	0x41b882e3	23.06390953063965	3745	0x418e4787	17.78492546081543	5.278984069824219	1	false
3	prefill	e84d853c0c31ae5a5be589c041d183376c24d02ae9af23879760559e8df95993	34208	0x41b695e6	22.823192596435547	26005	0x41a69e90	20.827423095703125	1.9957695007324219	1	false
4	prefill	137e4ce07b60e5b38e2b997cdc4c5e10502537cd13597f6349f767035242cae9	916	0x41b29ab0	22.325531005859375	198	0x418728ef	16.894987106323242	5.430543899536133	1	false
5	prefill	a11d9d2bc16e14c1aefecb99998be3cf7a2651baab050e446a9fba6eded12075	279	0x41ad6055	21.67203712463379	264	0x418bae84	17.46021270751953	4.211824417114258	1	false
6	prefill	a83030756355d7e1b2fe1191a61587c524b04293d9bf19fed539727630719f91	15678	0x41c8aacc	25.083396911621094	44263	0x4189dd24	17.23297882080078	7.8504180908203125	1	false
7	prefill	cf46468192c353603d2332c582dcbcf1b0f66fde67a978de9c413d3877169b10	5562	0x41c0771a	24.058155059814453	12590	0x4192cf51	18.351228713989258	5.706926345825195	1	false
8	prefill	76786699b80247b49e21a9ad46bef109a4c8aa0f2d3d2c5446bf909574c02bd0	13	0x41979b77	18.950910568237305	624	0x418ccaa8	17.598953247070312	1.3519573211669922	1	false
9	prefill	2d6de993ac2ef29fbdb8800de034b59f1a2951d13f5d0ede1447e12861c5392e	576	0x418c5593	17.541784286499023	220	0x4189e4e4	17.23676300048828	0.3050212860107422	1	false
10	decode	8ca5fdcdf26f218ebb868c9115eb81c6ca889b44312cb9baab975f60a733f36a	3974	0x41b4476c	22.534873962402344	5562	0x41b2267e	22.268795013427734	0.2660789489746094	1	false
11	decode	d32d841f6f43657691df5470cd42f9bc3dfadf2883051686aa08fa7992faa39e	13876	0x41afa4f0	21.955535888671875	323	0x419681a1	18.813295364379883	3.142240524291992	1	false
12	decode	a23c4a8974c423d49982399d4c5b8442234d5f15e021c50936745800e98c8fcc	38835	0x41be58fd	23.7934513092041	5562	0x4199cdf8	19.225570678710938	4.567880630493164	1	false
13	decode	bb07166125deddd6c00ef6234c0894c33020a9837215fb98bb86c50c73190caf	34208	0x41b2596c	22.293663024902344	374	0x41a0b843	20.0899715423584	2.2036914825439453	1	false
14	decode	8e113ba6829ec9d8941aa24163ac8419c6e4d2f5055ad2f6cf1d11398e0e5cbb	916	0x41bde1d5	23.73526954650879	13	0x41948de6	18.569286346435547	5.165983200073242	1	false
15	decode	44a9d8111bffef5639fad13dc80df0e709f85a2c64ac2ce4558cc0e86bb94b0d	279	0x41bc4f8a	23.538837432861328	264	0x419d8e81	19.694581985473633	3.8442554473876953	1	false
16	decode	2326bc6e6ef2c33aad37b66d29beb4804a4775155114a2e716c552ae18f151b3	15678	0x41b68df0	22.819305419921875	3974	0x419aa637	19.331159591674805	3.4881458282470703	1	false
17	decode	688f6efbc9b90e383bf9d65edc3ee0470d7d752bcb46fda6206cae7f2203699f	5562	0x41bc0d73	23.506567001342773	8251	0x419cd28c	19.602806091308594	3.9037609100341797	1	false
