schema	tiler.apple-numerical-input-manifest/v1
profile	apple9-f32-bf16-unified-msl4-macos26
msl_version	metal4.0
runtime_language	4.0
input.spikes/apple-targets/numerical_probe.py	17b8b8ddc7731ba1a11f6e971e17cf3fa874ff4153a52de95c634331693a9bb6
input.spikes/apple-targets/numerical_probe_host.m	31a3e02f6cba8628006e5d0f84e51890d2e00d98259f842432278b78f4bc4ee6
input.spikes/apple-targets/validate_numerical_record.py	019cbe2845dc025ef7a1c1f0dec0ec75696204ace62fc40f1b23ade4fabfe004
source.sources/add_smallest_normal.metal	9723b3ba18e85032c6b04a06416e9b91c5964e30da40550228aae331ec38cfd8
source.sources/add_smallest_normal_bf16.metal	18836a84dd62508513df12c6081a993d348a7bff69e099dbe985c2c0541c4273
source.sources/contraction_pair.metal	5b4a39ca06bb3e0f5684fd9220d90bf7712fe2f27b1d13c70d028b7706c07dde
source.sources/contraction_pair_bf16.metal	3a8c9649942ef88ca41367088299248d5a76d0488b9633593d89b90a0eff9728
source.sources/contraction_pair_canonicalized.metal	dd62917e81f2b90126ce455977bdbe47927baa1ed33a2d2383cd16719dc19663
source.sources/contraction_pair_canonicalized_bf16.metal	c788648fdc3f2fb8ab33b8d3e3cbed14a9f574e08b10ad9595fe2f86bde0e50f
source.sources/divide_by_half.metal	795274aea5b5bbd19319c1b21919de0effa31e919cc3802cc2c92caee9f7b925
source.sources/divide_by_three.metal	44af9aa562d1b633cbe906910ab2dec06be1140b9029f6a13fec82291c58b71c
source.sources/divide_by_three_bf16.metal	b4dd91010b5648539204c9e351fe1f7af84a8ab5cc6287c657320e5ded2e1a4e
source.sources/divide_by_three_eighths.metal	b3b3ea0ce5cb0c6897bce3f52dd236768d6212c4ef93e831e85ca49d8a4a2959
source.sources/divide_by_three_eighths_bf16.metal	e7c4f73915be189e1bf5944ad5285b8a51a4a4d19063f036944a738a959a2139
source.sources/divide_by_two.metal	7e70855256cb2df058cf174b9b22a876828d4ea20acdfe58a11e8a0c872f792b
source.sources/fused_pair.metal	d634cb831a4ae0fefbe457eb54437d8d85e4ca096233ac14741a4c1f3e3d5d55
source.sources/materialize.metal	1e3706163438179e2e0af89df109c1ca96845bbdf5a8f1465c728caf35cac19c
source.sources/materialize_bf16.metal	31df7bb5fd6b634f62872b1c2acd46aed25c2f7243602bd2ba307096fb38484a
source.sources/multiply_half.metal	c0394104d6a7fac4c51bfeb990f4e5d15c12aa29583a54a46bd1d701597643e8
source.sources/multiply_half_bf16.metal	0a1b1edbe7345fc1a4d30b8a3578a7ef256dcec31bdc0464b02c796e82712ff9
source.sources/multiply_one.metal	5bb6a730e4ccc8fdbe703a08ff43290fab3b05347ae79a631a5882873d2c06b9
source.sources/multiply_one_bf16.metal	805fa9c10dbcd7987608b78e3b9d1d6ee3c624859850544173732373f5447494
source.sources/multiply_two.metal	5617cf291dbcd1ed6f37c1ee1e230d3e689a1d3ad542fd7dd36f109fe2a1ad25
source.sources/multiply_two_bf16.metal	44ecde533cb8240007d1658f2b6811236eceaa7ddf7d86682b94e1dcb698e5ef
source.sources/permutation_chain.metal	fa5c8b7f3bac3155ecc641e374159bacf59ea10c3fc6facd226feafdc77fd7a6
source.sources/permutation_chain_reordered.metal	9aa5350d80e51de8160eef8e7f1da48823dcb015b101a6bfbc84ea82ca19a356
source.sources/reassociation_chain.metal	692ef0457a59067f4c1c770627942eafc9a3ae4f9e6510c385fd637a352a5501
source.sources/reassociation_chain_bf16.metal	2a479a2702cb53923bbef7571916d3ad4fe6e09455b7365d1c1f30e3ca54878d
source.sources/scale_one_bias_zero.metal	aa999a5e40f173a9b52a208d6ec838f86d770828eafa9303cc81c90a1c32f155
source.sources/scale_one_bias_zero_bf16.metal	518e1807a507b9973f975ba147101bbd8fc701b123d90180c1aea995acb415b5
source.sources/scale_two_bias_one.metal	186711c60765cb3b3b2cb8a2a5a6eaffed2ecf8fa9312aa190a976fd45c62d50
