# cache-hot-path-efficiency; host=Darwin 27.0.0; cpus=14; rustc=rustc 1.99.0-nightly (eff8269f7 2026-07-18)
# cpu=Apple M4 Max
# scratch root=/var/folders/7k/00gbj8p92d938w7bqf3k78040000gn/T/tiler-cache-hot-path-efficiency-44397-1785876227587814000
# load average at start={ 4.37 9.72 14.14 }
# repeats=8000 warmup=64 cold-children=48 publish-rounds=128 scan-repeats=15 populations=[10, 100, 1000, 10000]
# envelope fixed overhead=28527 bytes; compiled in 3.586583ms
# load average at end={ 4.30 9.35 13.90 }
# total wall clock=22.235893333s
kind	section	size_bytes	population	variant	samples	min_ns	p50_ns	p90_ns	max_ns	note
fact	oracle	32136	1	returned-bytes-equal-published	-	-	-	-	-	publication and hit both returned the exact published bytes
fact	oracle	32136	1	one-flipped-byte-refused	-	-	-	-	-	cache bundle refused: cache bundle section `artifact-envelope` does not match its declared digest
fact	oracle	32136	1	restored-byte-restores-hit	-	-	-	-	-	the same byte restored returns the exact published bytes
fact	oracle	47803	1	returned-bytes-equal-published	-	-	-	-	-	publication and hit both returned the exact published bytes
fact	oracle	47803	1	one-flipped-byte-refused	-	-	-	-	-	cache bundle refused: cache bundle section `artifact-envelope` does not match its declared digest
fact	oracle	47803	1	restored-byte-restores-hit	-	-	-	-	-	the same byte restored returns the exact published bytes
timing	publish	32136	1	process-crash	128	544459	613084	758167	934000	-
timing	publish	32136	1	fsync	128	8159166	9107375	10236125	13192875	-
timing	publish	32136	1	bare-rename	128	67458	85000	102083	215125	-
timing	publish	47803	1	process-crash	128	600833	707542	867333	1000583	-
timing	publish	47803	1	fsync	128	8041083	8415833	9934625	13677875	-
timing	publish	47803	1	bare-rename	128	64792	70750	87959	103792	-
timing	hit-warm	32136	10	lookup	8000	55333	63542	66750	332334	-
timing	hit-cold	32136	10	lookup	48	121708	129083	143125	182167	-
timing	scan	32136	10	account	15	166667	170791	177084	251958	-
timing	scan	32136	10	collect-unbounded	15	170000	173209	191167	455750	-
timing	scan	32136	10	collect-age-retaining-all	15	170250	173208	175792	178000	-
timing	hit-warm	32136	100	lookup	8000	55458	62917	66875	383875	-
timing	hit-cold	32136	100	lookup	48	122500	143250	158333	179041	-
timing	scan	32136	100	account	15	1553792	1930292	2065041	2480917	-
timing	scan	32136	100	collect-unbounded	15	1555041	2052917	2197125	2255542	-
timing	scan	32136	100	collect-age-retaining-all	15	1582334	1790292	2052375	2218959	-
timing	hit-warm	32136	1000	lookup	8000	55833	65917	71750	287541	-
timing	hit-cold	32136	1000	lookup	48	135250	162542	177000	198083	-
timing	scan	32136	1000	account	15	6456166	7474208	8329959	11469208	-
timing	scan	32136	1000	collect-unbounded	15	5880875	6376667	6705875	6944166	-
timing	scan	32136	1000	collect-age-retaining-all	15	6378250	7052792	7420542	7772500	-
timing	hit-warm	32136	10000	lookup	8000	55291	62125	65292	114375	-
