# cache-hot-path-efficiency; host=Darwin 27.0.0; cpus=14; rustc=rustc 1.99.0-nightly (eff8269f7 2026-07-18)
# cpu=Apple M4 Max
# scratch root=/var/folders/7k/00gbj8p92d938w7bqf3k78040000gn/T/tiler-cache-hot-path-efficiency-87488-1786048045209509000
# load average at start={ 6.71 6.09 8.22 }
# repeats=8000 warmup=64 cold-children=48 publish-rounds=128 scan-repeats=15 populations=[10, 100, 1000, 10000]
# envelope fixed overhead=114043 bytes; compiled in 4.713708ms
# load average at end={ 6.44 6.08 8.13 }
# total wall clock=35.475374958s
kind	section	size_bytes	population	variant	samples	min_ns	p50_ns	p90_ns	max_ns	note
fact	oracle	141532	1	returned-bytes-equal-published	-	-	-	-	-	publication and hit both returned the exact published bytes
fact	oracle	141532	1	one-flipped-byte-refused	-	-	-	-	-	cache bundle refused: cache bundle section `artifact-envelope` does not match its declared digest
fact	oracle	141532	1	restored-byte-restores-hit	-	-	-	-	-	the same byte restored returns the exact published bytes
fact	oracle	159037	1	returned-bytes-equal-published	-	-	-	-	-	publication and hit both returned the exact published bytes
fact	oracle	159037	1	one-flipped-byte-refused	-	-	-	-	-	cache bundle refused: cache bundle section `artifact-envelope` does not match its declared digest
fact	oracle	159037	1	restored-byte-restores-hit	-	-	-	-	-	the same byte restored returns the exact published bytes
timing	publish	141532	1	process-crash	128	709542	800708	956541	1081125	-
timing	publish	141532	1	fsync	128	8242833	8547167	9479917	11059125	-
timing	publish	141532	1	bare-rename	128	52167	70959	145083	193542	-
timing	publish	159037	1	process-crash	128	744958	830209	1008333	1290666	-
timing	publish	159037	1	fsync	128	8276708	9189875	9504208	10435875	-
timing	publish	159037	1	bare-rename	128	58750	68583	84292	147000	-
timing	hit-warm	141532	10	lookup	8000	159500	165042	199292	540458	-
timing	hit-cold	141532	10	lookup	48	239333	276209	310333	432458	-
timing	scan	141532	10	account	15	155166	169042	196750	381458	-
timing	scan	141532	10	collect-unbounded	15	161708	168208	168916	183083	-
timing	scan	141532	10	collect-age-retaining-all	15	154084	169333	172667	340708	-
timing	hit-warm	141532	100	lookup	8000	159459	164250	202708	485000	-
timing	hit-cold	141532	100	lookup	48	242083	280208	312417	441584	-
timing	scan	141532	100	account	15	1519084	1609875	1784542	2411417	-
timing	scan	141532	100	collect-unbounded	15	1461833	1583541	1740666	2065209	-
timing	scan	141532	100	collect-age-retaining-all	15	1509125	1567292	1713083	1795417	-
timing	hit-warm	141532	1000	lookup	8000	159417	164583	199542	477500	-
timing	hit-cold	141532	1000	lookup	48	246333	278083	325500	560333	-
timing	scan	141532	1000	account	15	6036291	6589375	7139917	7232500	-
timing	scan	141532	1000	collect-unbounded	15	5911709	6647750	7243834	7982292	-
timing	scan	141532	1000	collect-age-retaining-all	15	5939625	6414041	6720375	7388417	-
timing	hit-warm	141532	10000	lookup	8000	159250	166250	202541	521375	-
timing	hit-cold	141532	10000	lookup	48	248792	294167	330000	350291	-
timing	scan	141532	10000	account	15	33916959	35662208	36169334	36726875	-
timing	scan	141532	10000	collect-unbounded	15	30778292	32568583	36226208	38185708	-
timing	scan	141532	10000	collect-age-retaining-all	15	31051667	32968125	33505250	33841417	-
timing	decompose	141532	10000	whole-lookup	2000	159292	163833	198875	359375	-
timing	decompose	141532	10000	open-and-read	2000	14334	16208	18000	120333	-
timing	decompose	141532	10000	bundle-section-digests	2000	47708	47792	55542	202167	-
timing	decompose	141532	10000	key-derivations	2000	166	208	250	69041	-
timing	decompose	141532	10000	path-form-and-parse	2000	291	333	375	8500	-
timing	decompose	141532	10000	decode-artifact	2000	94959	95625	114000	233292	-
fact	decompose	141532	10000	residual	-	-	-	-	-	whole minimum 159292 ns; components sum to 157458 ns; residual 1834 ns (1.2% of the whole)
fact	decompose	141532	10000	share	-	-	-	-	-	open-and-read: 14334 ns, 9.0% of the whole hit
fact	decompose	141532	10000	share	-	-	-	-	-	bundle-section-digests: 47708 ns, 30.0% of the whole hit
fact	decompose	141532	10000	share	-	-	-	-	-	key-derivations: 166 ns, 0.1% of the whole hit
fact	decompose	141532	10000	share	-	-	-	-	-	path-form-and-parse: 291 ns, 0.2% of the whole hit
fact	decompose	141532	10000	share	-	-	-	-	-	decode-artifact: 94959 ns, 59.6% of the whole hit
fact	decompose	141532	10000	validation-share	-	-	-	-	-	fail-closed integrity (bundle section digests + decode_artifact) costs 142667 ns, 89.6% of the whole hit
timing	decompose	141532	10000	caller-owned-copy	2000	1250	1459	1625	19166	-
timing	lock	141532	10000	acquire-release-uncontended	2000	13667	15458	16875	138458	-
fact	lock	141532	10000	held-by-another-process	-	-	-	-	-	a non-blocking acquisition was refused while the child held the lock
timing	lock	141532	10000	hit-while-key-lock-held	2000	159292	164583	198542	355458	-
timing	scan	141532	10000	collect-age-removing-all	1	746728500	746728500	746728500	746728500	-
fact	scan	141532	10000	removal-cost-per-entry	-	-	-	-	-	746728500 ns over 10000 entries, 74672 ns each, 1418628890 bytes reclaimed
timing	hit-warm	159037	10	lookup	8000	172000	177875	217333	540042	-
timing	hit-cold	159037	10	lookup	48	266459	312084	372708	523750	-
timing	scan	159037	10	account	15	156042	170417	182167	261875	-
timing	scan	159037	10	collect-unbounded	15	151834	171959	230333	297000	-
timing	scan	159037	10	collect-age-retaining-all	15	160333	175750	182584	188958	-
timing	hit-warm	159037	100	lookup	8000	171875	177750	218750	470250	-
timing	hit-cold	159037	100	lookup	48	263500	297834	367167	486667	-
timing	scan	159037	100	account	15	1508833	1613250	1795792	1835833	-
timing	scan	159037	100	collect-unbounded	15	1524334	1626250	1728083	1748916	-
timing	scan	159037	100	collect-age-retaining-all	15	1517208	1551667	1762167	1913166	-
timing	hit-warm	159037	1000	lookup	8000	171875	177750	216417	510209	-
timing	hit-cold	159037	1000	lookup	48	263417	304458	343041	390875	-
timing	scan	159037	1000	account	15	6453458	6741083	7087125	9353792	-
timing	scan	159037	1000	collect-unbounded	15	6482041	6678042	6929791	7110625	-
timing	scan	159037	1000	collect-age-retaining-all	15	6444292	6773542	7147500	7321625	-
timing	hit-warm	159037	10000	lookup	8000	171916	177834	215917	449917	-
timing	hit-cold	159037	10000	lookup	48	265958	298500	365666	426833	-
timing	scan	159037	10000	account	15	32262000	33220375	34079334	34512083	-
timing	scan	159037	10000	collect-unbounded	15	30699541	32462292	33298417	33588375	-
timing	scan	159037	10000	collect-age-retaining-all	15	32297334	33333833	33792167	34081125	-
timing	decompose	159037	10000	whole-lookup	2000	172000	179292	223792	443000	-
timing	decompose	159037	10000	open-and-read	2000	14709	16666	17500	183000	-
timing	decompose	159037	10000	bundle-section-digests	2000	53583	53708	63667	315791	-
timing	decompose	159037	10000	key-derivations	2000	125	167	209	458	-
timing	decompose	159037	10000	path-form-and-parse	2000	208	333	334	2167	-
timing	decompose	159037	10000	decode-artifact	2000	101333	102167	122584	257625	-
fact	decompose	159037	10000	residual	-	-	-	-	-	whole minimum 172000 ns; components sum to 169958 ns; residual 2042 ns (1.2% of the whole)
fact	decompose	159037	10000	share	-	-	-	-	-	open-and-read: 14709 ns, 8.6% of the whole hit
fact	decompose	159037	10000	share	-	-	-	-	-	bundle-section-digests: 53583 ns, 31.2% of the whole hit
fact	decompose	159037	10000	share	-	-	-	-	-	key-derivations: 125 ns, 0.1% of the whole hit
fact	decompose	159037	10000	share	-	-	-	-	-	path-form-and-parse: 208 ns, 0.1% of the whole hit
fact	decompose	159037	10000	share	-	-	-	-	-	decode-artifact: 101333 ns, 58.9% of the whole hit
fact	decompose	159037	10000	validation-share	-	-	-	-	-	fail-closed integrity (bundle section digests + decode_artifact) costs 154916 ns, 90.1% of the whole hit
timing	decompose	159037	10000	caller-owned-copy	2000	1625	1917	2084	95959	-
timing	lock	159037	10000	acquire-release-uncontended	2000	13709	15583	17458	104542	-
fact	lock	159037	10000	held-by-another-process	-	-	-	-	-	a non-blocking acquisition was refused while the child held the lock
timing	lock	159037	10000	hit-while-key-lock-held	2000	172084	178917	216750	556583	-
timing	scan	159037	10000	collect-age-removing-all	1	801276000	801276000	801276000	801276000	-
fact	scan	159037	10000	removal-cost-per-entry	-	-	-	-	-	801276000 ns over 10000 entries, 80127 ns each, 1593678890 bytes reclaimed
