torch_version	2.6.0
transformers_version	4.51.0
device	cpu
dtype	float32
ACT2FN_silu_class	SiLU
qwen3_mlp_uses_ACT2FN	True
mask_fill_masked	0xff7fffff
mask_fill_attended	0x80000000
mask_fill_is_negative_infinity	False
attention_scaling_f64	0.08838834764831845
attention_scaling_f32	0x3db504f3
softmax_equal_large	0x3f000000 0x3f000000
softmax_equal_large_naive_form	0x7fc00000 0x7fc00000
softmax_row_all_masked_finite	0x3eaaaaab 0x3eaaaaab 0x3eaaaaab
softmax_row_all_masked_neginf	0x7fc00000 0x7fc00000 0x7fc00000
softmax_one_live_score_finite_mask	0x3f800000 0x00000000 0x00000000
softmax_empty_reduced_axis_shape	(1, 0)
softmax_worked_example_scores	0x3f800000 0x40000000 0x40400000 0xff7fffff
softmax_worked_example_exponentials	0x3e0a9555 0x3ebc5ab2 0x3f800000 0x00000000
softmax_worked_example_denominator_torch_sum	0x3fc06957
softmax_worked_example_denominator_strict_left_fold	0x3fc06957
softmax_worked_example_reference	0x3db861f2 0x3e7a9a18 0x3f2a4d3a 0x00000000
softmax_worked_example_reciprocal_form	0x3db861f3 0x3e7a9a1a 0x3f2a4d3b 0x00000000
softmax_worked_example_divide_form	0x3db861f3 0x3e7a9a1a 0x3f2a4d3b 0x00000000
softmax_worked_example_reference_implied_constant	0x3f2a4d3a
softmax_worked_example_correctly_rounded_reciprocal	0x3f2a4d3b
softmax_worked_example_denominator_under_order_0_2_1_3	0x3fc06958
softmax_worked_example_reciprocal_of_that_denominator	0x3f2a4d3a
softmax_row_with_a_nan_score	0x7fc00000 0x7fc00000 0x7fc00000
torch_max_of_row_with_a_nan_score	0x7fc00000
torch_max_of_signed_zeros_plus_then_minus	0x80000000
torch_amax_of_signed_zeros_plus_then_minus	0x00000000
torch_max_of_signed_zeros_minus_then_plus	0x00000000
torch_amax_of_signed_zeros_minus_then_plus	0x80000000
softmax_form_width_2	discriminating=3037 matches_divide=0 matches_reciprocal=3037 matches_neither=0
softmax_form_width_3	discriminating=7224 matches_divide=0 matches_reciprocal=7224 matches_neither=0
softmax_form_width_4	discriminating=12123 matches_divide=337 matches_reciprocal=9437 matches_neither=2349
softmax_form_width_8	discriminating=32501 matches_divide=1277 matches_reciprocal=25169 matches_neither=6055
softmax_form_width_18	discriminating=85538 matches_divide=4904 matches_reciprocal=64042 matches_neither=16592
softmax_constant_width_2	rows=20000 explained_by_one_constant=20000 constant_is_correctly_rounded_reciprocal_of_the_naive_sum=20000 max_abs_constant_ulp_gap=0
softmax_constant_width_3	rows=20000 explained_by_one_constant=20000 constant_is_correctly_rounded_reciprocal_of_the_naive_sum=20000 max_abs_constant_ulp_gap=0
softmax_constant_width_4	rows=20000 explained_by_one_constant=20000 constant_is_correctly_rounded_reciprocal_of_the_naive_sum=14680 max_abs_constant_ulp_gap=3
softmax_constant_width_8	rows=20000 explained_by_one_constant=20000 constant_is_correctly_rounded_reciprocal_of_the_naive_sum=14556 max_abs_constant_ulp_gap=4
softmax_constant_width_18	rows=20000 explained_by_one_constant=20000 constant_is_correctly_rounded_reciprocal_of_the_naive_sum=13972 max_abs_constant_ulp_gap=4
softmax_constant_reachable_by_some_summation_order_width_4	rows=20000 reachable=19895
exp_f32_overflow_threshold_approx	0x42b17218
exp_f32_last_argument_flushing_to_zero	0xc2cff1b5
exp_f32_last_argument_producing_a_subnormal	0xc2aeac50
rms_eps	1e-06
rsqrt_of_eps_alone	0x4479ffff
rms_zero_vector	0x00000000 0x00000000 0x00000000 0x00000000
rms_subnormal_vector	0x02081cb9 0x02081cb9 0x02081cb9 0x02081cb9
rms_square_overflow_threshold	0x5f7fffff
rms_big_vector_mean_of_squares	0x7f800000
rms_big_vector_result	0x00000000 0x00000000 0x00000000 0x00000000
silu_inputs	0xc2c80000 0xc2b00000 0xc1a00000 0xbf800000 0x80000000 0x00000000 0x3f800000 0x41a00000 0x42c80000 0xff800000 0x7f800000 0x7fc00000
silu_torch_reference	0x80000000 0x83354ddc 0xb3310d40 0xbe89b2b1 0x80000000 0x00000000 0x3f3b26a8 0x41a00000 0x42c80000 0x7fc00000 0x7f800000 0x7fc00000
silu_x_over_one_plus_exp_neg_x	0x80000000 0x83354ddc 0xb3310d40 0xbe89b2b1 0x80000000 0x00000000 0x3f3b26a8 0x41a00000 0x42c80000 0x7fc00000 0x7f800000 0x7fc00000
silu_x_times_sigmoid_x	0x80000000 0x83354ddb 0xb3310d40 0xbe89b2b1 0x80000000 0x00000000 0x3f3b26a8 0x41a00000 0x42c80000 0x7fc00000 0x7f800000 0x7fc00000
silu_torch_reference_inputs_differing_from_reference	none
silu_x_over_one_plus_exp_neg_x_inputs_differing_from_reference	none
silu_x_times_sigmoid_x_inputs_differing_from_reference	0xc2b00000
